	Age	Gender	Sentiment	Food
0	27	1	3	Bottle Diet Coke
1	57	1	5	Pathia - Prawn
2	19	0	3	Korma - Chicken
3	59	1	5	Peshwari Naan
4	61	0	0	Lemon Rice
5	22	1	5	Chicken Biryani
6	34	1	1	Mushroom Rice
7	33	0	4	Lamb Sylhet
8	42	1	4	Peshwari Naan
9	56	1	0	Spicy Papadum
10	49	1	2	Plain Papadum
11	35	0	4	Red Sauce
12	52	1	0	Mint Sauce
13	15	0	3	Plain Rice
14	65	1	3	Chicken Tikka Jalfrezi
15	69	1	1	Dupiaza - Chicken Tikka
16	36	0	3	Bhuna - Lamb
17	21	1	4	Chapati
18	59	1	4	Special Fried Rice
19	61	0	1	Saag - Chicken
20	37	1	5	Saag Paneer
21	18	0	1	Peshwari Naan
22	37	0	2	Saag Rice
23	35	0	3	Aloo Gobi
24	19	0	2	Sheek Kebab
25	68	0	4	Chicken Tikka Masala
26	24	0	1	Plain Papadum
27	43	0	0	Meat Samosa
28	50	0	3	Mixed Vegetable Curry
29	20	1	5	Lamb Tikka Masala
30	38	1	5	Dupiaza - Lamb
31	43	1	5	Pilau Rice
32	50	1	2	Lemon Rice
33	41	0	0	Keema Naan
34	37	0	2	Methi - Lamb
35	46	1	3	French Fries
36	26	1	4	Pilau Rice
37	38	0	3	Keema Rice
38	54	0	3	Bombay Aloo
39	69	1	1	Garlic Naan
40	53	0	5	Madras - Lamb
41	66	0	4	Onion Bhajee
42	65	1	3	Lamb Biryani
43	28	1	4	Spicy Papadum
44	24	1	5	Plain Papadum
45	23	0	0	Lamb Tikka Chilli Masala
46	47	0	0	Garlic Naan
47	52	0	2	Plain Naan
48	33	0	5	Pilau Rice
49	24	0	2	Paneer Tikka Sizzler
50	46	1	1	King Prawn Balti
51	41	1	5	Chicken Tikka Masala
52	32	1	0	Vindaloo Sauce
53	33	1	0	Bhuna - Lamb
54	32	0	5	Garlic Naan
55	49	0	0	Onion Chutney
56	18	0	3	Plain Papadum
57	61	0	1	Mushroom Rice
58	15	0	5	Lamb Biryani
59	31	1	2	Paneer Tikka Masala
60	46	0	5	Plain Naan
61	19	1	5	Mango Chutney
62	62	0	1	Lamb Tikka
63	57	1	4	Plain Naan
64	33	0	4	Mushroom Rice
65	42	0	0	Onion Bhajee
66	32	1	2	Plain Rice
67	36	0	4	Tandoori Chicken (1/4)
68	30	0	0	French Fries
69	18	1	0	Saag Paneer
70	37	1	1	Vindaloo - Lamb
71	26	1	2	Chicken Tikka Masala
72	42	0	0	Chapati
73	65	1	2	Keema Rice
74	15	1	1	Rogon - Lamb
75	34	0	5	Lamb Tikka
76	24	1	5	Red Sauce
77	59	1	5	Saag Paneer
78	32	0	5	Chicken Tikka Karahi
79	68	0	3	Chicken Mysore
80	50	0	3	Aloo Chaat
81	23	1	3	Pilau Rice
82	31	1	2	Garlic Naan
83	22	1	5	Chicken Pakora
84	41	1	4	Bombay Aloo
85	21	1	0	Lamb Chilli Garlic
86	62	1	5	Chicken Chilli Garlic
87	68	0	0	Onion Bhajee
88	68	1	3	Aloo Chaat
89	39	0	3	Lamb Biryani
90	52	0	5	French Fries
91	19	1	5	Keema Naan
92	27	0	0	Chicken Tikka Masala
93	21	0	2	Tandoori Mixed Grill
94	41	1	4	Chicken Pakora
95	40	1	4	Korma - Chicken
96	67	0	5	Tandoori Roti
97	52	1	0	Mint Sauce
98	28	1	3	Plain Papadum
99	18	0	2	Plain Naan
100	51	0	4	King Prawn Puree
101	31	0	4	Mango Chutney
102	32	0	3	Plain Papadum
103	46	1	2	Mango Chutney
104	55	1	5	Pilau Rice
105	21	1	5	Chicken Shashlick
106	61	0	0	Mint Sauce
107	41	1	0	Red Sauce
108	32	0	5	Bhindi Bhajee
109	24	1	5	Aloo Chaat
110	25	0	0	Korma - Prawn
111	15	1	1	Onion Chutney
112	50	0	5	Chicken Tikka Masala
113	23	0	2	Peshwari Naan
114	50	1	1	Onion Chutney
115	36	1	0	Garlic Naan
116	19	1	1	Pilau Rice
117	39	1	0	Mango Chutney
118	69	1	2	Pilau Rice
119	63	1	3	Dhansak Sauce
120	23	0	1	Chicken Balti
121	45	0	0	Bhuna - Chicken
122	67	0	4	Mango Chutney
123	34	1	0	Onion Bhajee
124	34	1	0	Special Fried Rice
125	53	1	5	Onion Chutney
126	57	0	1	Tarka Dall
127	48	0	4	Mango Chutney
128	37	0	1	Saag Paneer
129	31	1	1	Mango Chutney
130	40	0	2	Baingan Hari Mirch
131	63	1	3	Onion Chutney
132	39	1	0	Madras - Chicken
133	49	0	5	Mango Chutney
134	60	1	5	Lemon Rice
135	49	1	2	Onion Chutney
136	50	1	1	Spicy Papadum
137	62	1	4	Onion Chutney
138	52	1	0	French Fries
139	44	1	4	Mango Chutney
140	40	0	2	Mint Sauce
141	64	0	5	Chicken Tikka Masala
142	42	0	1	Red Sauce
143	17	1	1	Lime Pickle
144	40	0	2	Curry - Lamb
145	63	0	0	Mint Sauce
146	30	1	1	Pilau Rice
147	36	0	4	Mango Chutney
148	63	1	3	Peshwari Naan
149	15	1	0	Onion Chutney
150	60	1	4	Plain Papadum
151	37	0	2	Mango Chutney
152	57	1	4	Plain Papadum
153	42	1	5	Mango Chutney
154	64	1	3	Vegetable Rice
155	43	0	1	Saag - Prawn
156	55	0	3	Tandoori Chicken Masala
157	22	1	5	Onion Chutney
158	40	1	4	Mango Chutney
159	55	0	3	Mint Sauce
160	18	1	4	Onion Chutney
161	25	0	2	Plain Papadum
162	32	1	2	Red Sauce
163	43	0	5	Lime Pickle
164	19	0	1	Lemon Rice
165	47	1	3	Mango Chutney
166	37	1	5	Lamb Mysore
167	37	0	2	Mint Sauce
168	63	0	0	Dhansak - Chicken
169	39	0	3	Mango Chutney
170	36	1	5	Mango Chutney
171	39	1	4	Mint Sauce
172	56	0	3	Chapati
173	49	0	5	Red Sauce
174	42	0	1	Lime Pickle
175	27	0	0	Onion Chutney
176	24	0	2	Lamb Biryani
177	34	1	1	Red Sauce
178	67	1	1	Mint Sauce
179	53	0	2	Peshwari Naan
180	52	0	5	Red Sauce
181	61	1	3	Onion Bhajee
182	53	1	0	Mango Chutney
183	63	1	3	Aloo Gobi
184	63	1	3	Mint Sauce
185	61	1	4	Chicken Biryani
186	16	0	4	Mango Chutney
187	67	0	4	Pilau Rice
188	48	1	2	Madras - Chicken
189	49	1	3	Mint Sauce
190	36	0	2	Korma - Chicken
191	39	1	0	Lamb Tikka Chilli Masala
192	38	1	5	Onion Chutney
193	65	1	3	Chicken Balti
194	17	0	4	Peshwari Naan
195	20	0	2	Chicken Tikka Chilli Masala
196	38	0	2	Onion Chutney
197	50	0	4	Red Sauce
198	65	1	4	Mango Chutney
199	59	1	5	Onion Chutney
200	30	0	0	Mint Sauce
201	25	1	5	Mango Chutney
202	25	1	4	Lal Mirch Chicken
203	59	1	5	Mango Chutney
204	16	1	0	Mint Sauce
205	66	0	5	Korma - Prawn
206	65	1	3	Mint Sauce
207	29	1	3	Mint Sauce
208	16	0	5	Korma - King Prawn
209	40	1	3	Mango Chutney
210	22	1	0	Mango Chutney
211	52	0	3	Plain Rice
212	54	1	5	Mushroom Rice
213	40	1	5	Mint Sauce
214	28	1	4	Garlic Naan
215	31	1	2	Saag Aloo
216	47	1	1	Mango Chutney
217	64	0	5	Keema Naan
218	56	0	1	Aloo Gobi
219	40	1	0	Onion Chutney
220	66	1	2	Peshwari Naan
221	66	1	2	Mango Chutney
222	18	0	4	Plain Papadum
223	19	0	2	Mango Chutney
224	43	0	0	Bhindi Bhajee
225	60	0	2	Mango Chutney
226	49	0	4	Spicy Papadum
227	50	0	0	Saag Paneer
228	26	1	2	Mint Sauce
229	46	1	3	Mango Chutney
230	20	1	1	Mint Sauce
231	48	0	4	Mint Sauce
232	43	0	0	Onion Chutney
233	53	0	3	Chicken Biryani
234	34	1	2	Mint Sauce
235	47	0	5	Mango Chutney
236	68	0	5	Red Sauce
237	50	1	0	Garlic Naan
238	17	1	1	Onion Chutney
239	37	0	2	Mango Chutney
240	43	0	0	Mint Sauce
241	17	1	0	Plain Naan
242	59	1	4	Mint Sauce
243	24	1	5	Vindaloo - Chicken
244	36	1	1	Red Sauce
245	48	0	0	Tandoori Chicken Masala
246	65	1	3	Mango Chutney
247	26	0	5	Madras - Chicken Tikka
248	45	1	3	Plain Papadum
249	48	0	5	Mango Chutney
250	37	1	5	Plain Rice
251	59	1	5	Red Sauce
252	48	0	5	Red Sauce
253	44	1	4	Plain Naan
254	44	1	2	Onion Chutney
255	36	1	1	Chicken Tikka Masala
256	38	0	3	Mint Sauce
257	15	1	2	Madras - Chicken
258	53	1	2	Madras - Chicken Tikka
259	61	1	4	Mango Chutney
260	48	1	3	Plain Papadum
261	62	1	4	Mushroom Rice
262	32	1	2	Bombay Aloo
263	51	0	3	Garlic Naan
264	18	1	1	Chicken Tikka Jalfrezi
265	30	1	3	Pilau Rice
266	66	1	1	Lime Pickle
267	64	0	5	Plain Papadum
268	29	0	4	Mango Chutney
269	59	1	3	Spicy Papadum
270	60	1	4	Mint Sauce
271	63	0	1	Vindaloo Sauce
272	17	0	4	Red Sauce
273	52	0	4	Bombay Aloo
274	63	1	2	Mint Sauce
275	40	1	0	Onion Bhajee
276	59	1	5	Mint Sauce
277	35	1	0	Onion Bhajee
278	40	0	1	Onion Chutney
279	44	1	2	Mango Chutney
280	33	1	0	Sheek Kebab
281	44	0	5	Meat Samosa
282	41	0	2	Mango Chutney
283	53	0	3	Plain Papadum
284	40	0	2	Chicken Pakora
285	33	0	3	Mango Chutney
286	56	1	4	Lamb Biryani
287	17	0	4	Mint Sauce
288	39	0	0	Chicken Biryani
289	62	1	3	Onion Chutney
290	23	0	3	Chicken Tikka Biryani
291	15	0	4	Red Sauce
292	61	0	2	Aloo Gobi
293	38	0	3	Lime Pickle
294	21	0	3	Chicken Tikka Jalfrezi
295	31	0	4	Mint Sauce
296	40	1	4	Onion Chutney
297	56	1	1	Mango Chutney
298	32	0	0	Mint Sauce
299	18	1	5	Mango Chutney
300	29	0	5	Mango Chutney
301	18	1	5	Onion Chutney
302	21	1	5	Mango Chutney
303	16	0	5	Red Sauce
304	59	0	1	Mango Chutney
305	25	1	3	Mint Sauce
306	29	0	5	Mango Chutney
307	47	1	4	Mango Chutney
308	22	1	4	Red Sauce
309	68	1	3	Onion Chutney
310	42	0	0	Onion Chutney
311	25	0	0	Chicken Tikka (Main)
312	61	1	3	Red Sauce
313	48	0	4	Mango Chutney
314	57	0	3	Bombay Aloo
315	19	0	2	Korma - Chicken
316	68	0	4	Mint Sauce
