Age,Gender,Sentiment,Food
27,woman,happy,"Bottle Diet Coke"
57,woman,surprise,"Pathia - Prawn"
19,man,happy,"Korma - Chicken"
59,woman,surprise,"Peshwari Naan"
61,man,angry,"Lemon Rice"
22,woman,surprise,"Chicken Biryani"
34,woman,disgust,"Mushroom Rice"
33,man,sad,"Lamb Sylhet"
42,woman,sad,"Peshwari Naan"
56,woman,angry,"Spicy Papadum"
49,woman,fear,"Plain Papadum"
35,man,sad,"Red Sauce"
52,woman,angry,"Mint Sauce"
15,man,happy,"Plain Rice"
65,woman,happy,"Chicken Tikka Jalfrezi"
69,woman,disgust,"Dupiaza - Chicken Tikka"
36,man,happy,"Bhuna - Lamb"
21,woman,sad,Chapati
59,woman,sad,"Special Fried Rice"
61,man,disgust,"Saag - Chicken"
37,woman,surprise,"Saag Paneer"
18,man,disgust,"Peshwari Naan"
37,man,fear,"Saag Rice"
35,man,happy,"Aloo Gobi"
19,man,fear,"Sheek Kebab"
68,man,sad,"Chicken Tikka Masala"
24,man,disgust,"Plain Papadum"
43,man,angry,"Meat Samosa"
50,man,happy,"Mixed Vegetable Curry"
20,woman,surprise,"Lamb Tikka Masala"
38,woman,surprise,"Dupiaza - Lamb"
43,woman,surprise,"Pilau Rice"
50,woman,fear,"Lemon Rice"
41,man,angry,"Keema Naan"
37,man,fear,"Methi - Lamb"
46,woman,happy,"French Fries"
26,woman,sad,"Pilau Rice"
38,man,happy,"Keema Rice"
54,man,happy,"Bombay Aloo"
69,woman,disgust,"Garlic Naan"
53,man,surprise,"Madras - Lamb"
66,man,sad,"Onion Bhajee"
65,woman,happy,"Lamb Biryani"
28,woman,sad,"Spicy Papadum"
24,woman,surprise,"Plain Papadum"
23,man,angry,"Lamb Tikka Chilli Masala"
47,man,angry,"Garlic Naan"
52,man,fear,"Plain Naan"
33,man,surprise,"Pilau Rice"
24,man,fear,"Paneer Tikka Sizzler"
46,woman,disgust,"King Prawn Balti"
41,woman,surprise,"Chicken Tikka Masala"
32,woman,angry,"Vindaloo Sauce"
33,woman,angry,"Bhuna - Lamb"
32,man,surprise,"Garlic Naan"
49,man,angry,"Onion Chutney"
18,man,happy,"Plain Papadum"
61,man,disgust,"Mushroom Rice"
15,man,surprise,"Lamb Biryani"
31,woman,fear,"Paneer Tikka Masala"
46,man,surprise,"Plain Naan"
19,woman,surprise,"Mango Chutney"
62,man,disgust,"Lamb Tikka"
57,woman,sad,"Plain Naan"
33,man,sad,"Mushroom Rice"
42,man,angry,"Onion Bhajee"
32,woman,fear,"Plain Rice"
36,man,sad,"Tandoori Chicken (1/4)"
